# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
10000 0.000000 17758100000000000 0.001570794 0.000025146 0.004260143 0.030529614
10001 1.000000 17758100000001000 0.003161992 -0.000025793 0.002272849 -0.009637903
10002 2.000000 17758100000002000 0.004773578 0.000129950 0.000653116 0.017009724
10003 3.000000 17758100000003000 0.006405532 0.000024673 0.006718514 -0.016374160
10004 4.000000 17758100000004000 0.008057836 -0.000100405 0.009462078 0.070223370
10005 5.000000 17758100000005000 0.009730469 0.000083897 0.001019960 0.062609482
10006 6.000000 17758100000006000 0.011423408 0.000279638 0.005457530 0.094004251
10007 7.000000 17758100000007000 0.013136629 0.000218509 0.010789988 0.127517829
10008 8.000000 17758100000008000 0.014870107 -0.000097832 0.022133243 0.144249198
10009 9.000000 17758100000009000 0.016623815 -0.000192214 0.019952316 0.138982503
10010 10.000000 17758100000010000 0.018397725 -0.000041146 0.023818586 0.172267816
10011 11.000000 17758100000011000 0.020191807 0.000119638 0.037885638 0.156950570
10012 12.000000 17758100000012000 0.022006029 -0.000320013 0.032432318 0.207988844
10013 13.000000 17758100000013000 0.023840358 0.000141132 0.044790452 0.219002525
10014 14.000000 17758100000014000 0.025694759 -0.000017606 0.043304205 0.218856585
10015 15.000000 17758100000015000 0.027569195 0.000139097 0.054459507 0.212710125
10016 16.000000 17758100000016000 0.029463627 0.000238452 0.066327662 0.238824570
10017 17.000000 17758100000017000 0.031378015 0.000354055 0.066429218 0.264768337
10018 18.000000 17758100000018000 0.033312316 0.000578381 0.075449180 0.276715067
10019 19.000000 17758100000019000 0.035266487 0.000792487 0.087272093 0.275482761
10020 20.000000 17758100000020000 0.037240479 0.000655848 0.105068197 0.303924134
10021 21.000000 17758100000021000 0.039234246 0.001062499 0.099396678 0.330229987
10022 22.000000 17758100000022000 0.041247736 0.000774332 0.115195196 0.311944765
10023 23.000000 17758100000023000 0.043280896 0.001106774 0.134057143 0.322792774
10024 24.000000 17758100000024000 0.045333672 0.001357615 0.129471817 0.335638325
10025 25.000000 17758100000025000 0.047406006 0.001347926 0.161660403 0.368395267
10026 26.000000 17758100000026000 0.049497838 0.001344772 0.165170011 0.395341784
10027 27.000000 17758100000027000 0.051609108 0.001486009 0.186906652 0.416394593
10028 28.000000 17758100000028000 0.053739749 0.001768601 0.185052961 0.408991200
10029 29.000000 17758100000029000 0.055889697 0.002107256 0.207208531 0.404032521
10030 30.000000 17758100000030000 0.058058881 0.002078001 0.213451802 0.399991075
10031 31.000000 17758100000031000 0.060247229 0.002468786 0.232120617 0.445450978
10032 32.000000 17758100000032000 0.062454667 0.002723802 0.241327559 0.448841086
10033 33.000000 17758100000033000 0.064681119 0.003123507 0.256514572 0.449515321
10034 34.000000 17758100000034000 0.066926503 0.003332951 0.266096390 0.497022184
10035 35.000000 17758100000035000 0.069190738 0.003651082 0.275815021 0.458645226
10036 36.000000 17758100000036000 0.071473737 0.003754847 0.305324999 0.495975042
10037 37.000000 17758100000037000 0.073775414 0.004181212 0.333337842 0.470685001
10038 38.000000 17758100000038000 0.076095676 0.004701664 0.336269486 0.509095986
10039 39.000000 17758100000039000 0.078434429 0.005197785 0.351797441 0.521037454
10040 40.000000 17758100000040000 0.080791576 0.005018290 0.373451719 0.495360905
10041 41.000000 17758100000041000 0.083167017 0.005960937 0.384698070 0.575216055
10042 42.000000 17758100000042000 0.085560648 0.006332682 0.402782784 0.559942191
10043 43.000000 17758100000043000 0.087972363 0.006642686 0.416606714 0.510780743
10044 44.000000 17758100000044000 0.090402051 0.006980040 0.436082525 0.554807200
10045 45.000000 17758100000045000 0.092849600 0.007323140 0.464163707 0.569941251
10046 46.000000 17758100000046000 0.095314892 0.008154586 0.472798846 0.585875401
10047 47.000000 17758100000047000 0.097797809 0.008750600 0.496577292 0.562643466
10048 48.000000 17758100000048000 0.100298225 0.009233168 0.512445554 0.563230410
10049 49.000000 17758100000049000 0.102816015 0.009669095 0.528886241 0.570553325
10050 50.000000 17758100000050000 0.105351048 0.010029926 0.553928882 0.578987758
10051 51.000000 17758100000051000 0.107903189 0.010288504 0.575851342 0.593127089
10052 52.000000 17758100000052000 0.110472300 0.011120529 0.585139396 0.594093612
10053 53.000000 17758100000053000 0.113058241 0.011863685 0.612714640 0.615156555
10054 54.000000 17758100000054000 0.115660865 0.012105585 0.634797841 0.596248393
10055 55.000000 17758100000055000 0.118280023 0.013093216 0.649403803 0.615265790
10056 56.000000 17758100000056000 0.120915562 0.013771333 0.670769597 0.629603258
10057 57.000000 17758100000057000 0.123567324 0.014516130 0.691585560 0.645444219
10058 58.000000 17758100000058000 0.126235149 0.014852204 0.713123648 0.652736713
10059 59.000000 17758100000059000 0.128918871 0.015689483 0.727157347 0.664244036
10060 60.000000 17758100000060000 0.131618320 0.016488165 0.751049425 0.644046364
10061 61.000000 17758100000061000 0.134333324 0.017116086 0.776662090 0.643977944
10062 62.000000 17758100000062000 0.137063703 0.018493608 0.791894763 0.650979734
10063 63.000000 17758100000063000 0.139809276 0.018863456 0.816471550 0.635392957
10064 64.000000 17758100000064000 0.142569856 0.019866669 0.837873013 0.642963827
10065 65.000000 17758100000065000 0.145345252 0.020608840 0.855781557 0.630293054
10066 66.000000 17758100000066000 0.148135269 0.021858476 0.881892479 0.646127173
10067 67.000000 17758100000067000 0.150939706 0.022708728 0.909411984 0.671236277
10068 68.000000 17758100000068000 0.153758359 0.023495940 0.920648253 0.705256436
10069 69.000000 17758100000069000 0.156591020 0.023875009 0.943363446 0.693843657
10070 70.000000 17758100000070000 0.159437473 0.025294469 0.967549210 0.680987964
10071 71.000000 17758100000071000 0.162297500 0.026411139 0.984301891 0.666127977
10072 72.000000 17758100000072000 0.165170878 0.027487590 1.009386834 0.705251712
10073 73.000000 17758100000073000 0.168057379 0.028197737 1.027102641 0.696803679
10074 74.000000 17758100000074000 0.170956768 0.029742425 1.047371980 0.684488229
10075 75.000000 17758100000075000 0.173868809 0.030192881 1.080619524 0.708670423
10076 76.000000 17758100000076000 0.176793258 0.031425899 1.105422660 0.669647836
10077 77.000000 17758100000077000 0.179729866 0.032868784 1.132254878 0.697609135
10078 78.000000 17758100000078000 0.182678380 0.033837533 1.145140982 0.710541884
10079 79.000000 17758100000079000 0.185638543 0.035396556 1.173133532 0.663732061
10080 80.000000 17758100000080000 0.188610089 0.036224578 1.189321670 0.692129360
10081 81.000000 17758100000081000 0.191592750 0.037273495 1.209586683 0.694218962
10082 82.000000 17758100000082000 0.194586252 0.038560363 1.238969208 0.667295104
10083 83.000000 17758100000083000 0.197590315 0.039675890 1.256986113 0.701544918
10084 84.000000 17758100000084000 0.200604654 0.040919334 1.284043575 0.695971641
10085 85.000000 17758100000085000 0.203628979 0.042604219 1.304727830 0.686005357
10086 86.000000 17758100000086000 0.206662993 0.043920149 1.320899936 0.686319326
10087 87.000000 17758100000087000 0.209706395 0.045411118 1.342784052 0.726978728
10088 88.000000 17758100000088000 0.212758877 0.046372072 1.365609121 0.681186494
10089 89.000000 17758100000089000 0.215820128 0.048254092 1.389978357 0.725452545
10090 90.000000 17758100000090000 0.218889828 0.049274538 1.420280513 0.697823122
10091 91.000000 17758100000091000 0.221967653 0.051085082 1.437624145 0.712420222
10092 92.000000 17758100000092000 0.225053273 0.052144248 1.467716221 0.690325940
10093 93.000000 17758100000093000 0.228146352 0.053566694 1.485714220 0.720312647
10094 94.000000 17758100000094000 0.231246550 0.055269082 1.504443330 0.686625131
10095 95.000000 17758100000095000 0.234353517 0.056953053 1.523355033 0.716380713
10096 96.000000 17758100000096000 0.237466901 0.058328860 1.540070378 0.720156348
10097 97.000000 17758100000097000 0.240586343 0.059751655 1.577525789 0.676376543
10098 98.000000 17758100000098000 0.243711476 0.061194769 1.600774977 0.708656990
10099 99.000000 17758100000099000 0.246841930 0.062799053 1.615176922 0.679740755
10100 100.000000 17758100000100000 0.249977327 0.064818261 1.647115123 0.713791515
10101 101.000000 17758100000101000 0.253117283 0.066576000 1.660006823 0.704490469
10102 102.000000 17758100000102000 0.256261409 0.068027413 1.682094802 0.676496317
10103 103.000000 17758100000103000 0.259409309 0.069549421 1.709723910 0.688475096
10104 104.000000 17758100000104000 0.262560580 0.071664650 1.725808809 0.689248205
10105 105.000000 17758100000105000 0.265714814 0.072981348 1.745113775 0.655429085
10106 106.000000 17758100000106000 0.268871597 0.074863745 1.767139365 0.716209295
10107 107.000000 17758100000107000 0.272030507 0.076920944 1.781792321 0.675006799
10108 108.000000 17758100000108000 0.275191119 0.078158447 1.811346743 0.690186108
10109 109.000000 17758100000109000 0.278352997 0.080518734 1.832885717 0.696985821
10110 110.000000 17758100000110000 0.281515703 0.082179261 1.860219727 0.646951080
10111 111.000000 17758100000111000 0.284678790 0.084192600 1.878372632 0.640217185
10112 112.000000 17758100000112000 0.287841806 0.086051665 1.892333863 0.638063756
10113 113.000000 17758100000113000 0.291004291 0.088024076 1.920882015 0.673276541
10114 114.000000 17758100000114000 0.294165781 0.090060003 1.938978961 0.650862295
10115 115.000000 17758100000115000 0.297325804 0.091727537 1.965875871 0.671355501
10116 116.000000 17758100000116000 0.300483881 0.094141850 1.982960889 0.666500253
10117 117.000000 17758100000117000 0.303639528 0.096001572 1.998183083 0.642853336
