# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=ramp backend=newton dt=0.001s
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
210000 0.000000 17758100000000000 0.000000000 0.000022182 -0.000552962 -0.032932848
210001 1.000000 17758100000001000 0.000000000 -0.000016752 0.002441658 -0.014539330
210002 2.000000 17758100000002000 0.000000000 -0.000160832 0.000719265 -0.027944293
210003 3.000000 17758100000003000 0.000000000 -0.000430431 -0.004789099 -0.004674199
210004 4.000000 17758100000004000 0.000000000 0.000242370 0.003653317 0.035611426
210005 5.000000 17758100000005000 0.000000000 -0.000096393 0.008053067 0.020022505
210006 6.000000 17758100000006000 0.000000000 -0.000038951 -0.006259457 0.010844951
210007 7.000000 17758100000007000 0.000000000 -0.000176559 -0.004920864 -0.006027514
210008 8.000000 17758100000008000 0.000000000 -0.000116656 0.003275623 -0.011283110
210009 9.000000 17758100000009000 0.000000000 -0.000209105 -0.003002268 -0.015543174
210010 10.000000 17758100000010000 0.000000000 -0.000014806 -0.002631860 -0.037114700
210011 11.000000 17758100000011000 0.000000000 0.000021974 0.002383426 -0.008004944
210012 12.000000 17758100000012000 0.000000000 -0.000051577 -0.005071713 0.035497024
210013 13.000000 17758100000013000 0.000000000 0.000119859 0.002004831 -0.014406456
210014 14.000000 17758100000014000 0.000000000 -0.000285624 0.003037257 -0.012583553
210015 15.000000 17758100000015000 0.000000000 0.000181762 0.004491024 -0.006290332
210016 16.000000 17758100000016000 0.000000000 -0.000199687 0.001353902 -0.046614509
210017 17.000000 17758100000017000 0.000000000 -0.000082909 -0.000685402 0.010217383
210018 18.000000 17758100000018000 0.000000000 -0.000180356 0.008008206 0.029600938
210019 19.000000 17758100000019000 0.000000000 -0.000106040 -0.007305991 -0.009517892
210020 20.000000 17758100000020000 0.000000000 -0.000090884 0.007001522 -0.021085882
210021 21.000000 17758100000021000 0.000000000 0.000092323 -0.000038161 -0.023586665
210022 22.000000 17758100000022000 0.000000000 0.000485403 0.006978170 -0.002746010
210023 23.000000 17758100000023000 0.000000000 -0.000204416 0.012132867 -0.025532205
210024 24.000000 17758100000024000 0.000000000 -0.000027668 0.003989046 -0.000082575
