# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=sine_2hz backend=newton frequency=2Hz amplitude=0.3rad dt=0.001s
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
600000 0.000000 17758100000000000 0.100000001 0.100195825 -0.004570592 0.017885948
600001 1.000000 17758100000001000 0.103769809 0.100022147 -0.016254559 0.025330521
600002 2.000000 17758100000002000 0.107539028 0.099878326 -0.003062335 -0.007874360
600003 3.000000 17758100000003000 0.111307055 0.099856338 -0.002070170 0.024790340
600004 4.000000 17758100000004000 0.115073293 0.099997618 -0.002854152 0.113806582
600005 5.000000 17758100000005000 0.118837155 0.100118800 0.011009177 0.134717676
600006 6.000000 17758100000006000 0.122598045 0.100191048 0.011895047 0.170134758
600007 7.000000 17758100000007000 0.126355365 0.100368840 0.011374908 0.214626774
600008 8.000000 17758100000008000 0.130108520 0.099929493 0.022734896 0.195982650
600009 9.000000 17758100000009000 0.133856922 0.100448495 0.036605355 0.286378063
600010 10.000000 17758100000010000 0.137599975 0.099724499 0.040351576 0.330643948
600011 11.000000 17758100000011000 0.141337082 0.099875158 0.055417337 0.380671036
600012 12.000000 17758100000012000 0.145067677 0.100240017 0.064226089 0.378391936
600013 13.000000 17758100000013000 0.148791149 0.100271398 0.081069892 0.437406324
600014 14.000000 17758100000014000 0.152506918 0.100519353 0.085686719 0.424593866
600015 15.000000 17758100000015000 0.156214401 0.100726411 0.102344048 0.481139265
600016 16.000000 17758100000016000 0.159912989 0.100636066 0.113569926 0.516286529
600017 17.000000 17758100000017000 0.163602129 0.100608363 0.150115023 0.568319085
600018 18.000000 17758100000018000 0.167281225 0.100910951 0.154142450 0.562286862
600019 19.000000 17758100000019000 0.170949697 0.101085954 0.179912309 0.575785365
600020 20.000000 17758100000020000 0.174606964 0.101879202 0.190883178 0.617052132
600021 21.000000 17758100000021000 0.178252459 0.101319832 0.215051494 0.621779312
600022 22.000000 17758100000022000 0.181885585 0.101698303 0.231595655 0.668676017
600023 23.000000 17758100000023000 0.185505778 0.102004404 0.263196898 0.699593617
600024 24.000000 17758100000024000 0.189112470 0.102244486 0.292021741 0.708943281
600025 25.000000 17758100000025000 0.192705095 0.102674844 0.306112242 0.748716859
600026 26.000000 17758100000026000 0.196283087 0.102564201 0.327391525 0.732362901
600027 27.000000 17758100000027000 0.199845865 0.103110737 0.345835880 0.728417514
600028 28.000000 17758100000028000 0.203392878 0.103854819 0.375739462 0.761805903
600029 29.000000 17758100000029000 0.206923559 0.104074423 0.414263117 0.779858440
600030 30.000000 17758100000030000 0.210437372 0.103979055 0.423644604 0.799347982
600031 31.000000 17758100000031000 0.213933736 0.104845000 0.452344970 0.811220263
600032 32.000000 17758100000032000 0.217412099 0.105788503 0.484672868 0.846067997
600033 33.000000 17758100000033000 0.220871925 0.105827338 0.520504703 0.843238338
600034 34.000000 17758100000034000 0.224312678 0.106275801 0.535490922 0.835722285
600035 35.000000 17758100000035000 0.227733791 0.107132430 0.566751995 0.825121047
600036 36.000000 17758100000036000 0.231134728 0.107042201 0.597469391 0.889243281
600037 37.000000 17758100000037000 0.234514967 0.108264219 0.618135675 0.907086377
600038 38.000000 17758100000038000 0.237873957 0.108709028 0.649926781 0.878298099
600039 39.000000 17758100000039000 0.241211176 0.109555810 0.688123531 0.913694144
600040 40.000000 17758100000040000 0.244526103 0.110030055 0.710359538 0.898044064
600041 41.000000 17758100000041000 0.247818202 0.111043377 0.731799056 0.920824827
600042 42.000000 17758100000042000 0.251086950 0.111924501 0.772730953 0.879584059
600043 43.000000 17758100000043000 0.254331857 0.112565755 0.797326468 0.874957710
600044 44.000000 17758100000044000 0.257552385 0.113583436 0.831081975 0.925357934
600045 45.000000 17758100000045000 0.260748029 0.113933312 0.852428058 0.926319885
600046 46.000000 17758100000046000 0.263918310 0.115389140 0.894191467 0.916275473
600047 47.000000 17758100000047000 0.267062694 0.116028939 0.919505499 0.946042690
600048 48.000000 17758100000048000 0.270180672 0.117155957 0.947156625 0.939252664
600049 49.000000 17758100000049000 0.273271799 0.117952981 0.979780743 0.930234567
600050 50.000000 17758100000050000 0.276335567 0.119024216 1.018660081 0.917402232
600051 51.000000 17758100000051000 0.279371500 0.120184537 1.036762189 0.933300823
600052 52.000000 17758100000052000 0.282379091 0.121283958 1.064231524 0.913070593
600053 53.000000 17758100000053000 0.285357893 0.121976753 1.103518588 0.928077051
600054 54.000000 17758100000054000 0.288307399 0.123500550 1.136146743 0.939803036
600055 55.000000 17758100000055000 0.291227192 0.124595616 1.154977466 0.919601514
600056 56.000000 17758100000056000 0.294116795 0.125726302 1.189422143 0.884600992
600057 57.000000 17758100000057000 0.296975732 0.126657049 1.204525526 0.899374450
600058 58.000000 17758100000058000 0.299803555 0.128008048 1.246950918 0.876979742
600059 59.000000 17758100000059000 0.302599847 0.129367617 1.264293528 0.882515957
600060 60.000000 17758100000060000 0.305364132 0.130630317 1.299763593 0.870446035
600061 61.000000 17758100000061000 0.308095992 0.131885014 1.337582039 0.844986939
600062 62.000000 17758100000062000 0.310794979 0.133446857 1.349452564 0.851142031
600063 63.000000 17758100000063000 0.313460708 0.134833017 1.387226981 0.829098960
600064 64.000000 17758100000064000 0.316092700 0.136446327 1.418957446 0.865911898
600065 65.000000 17758100000065000 0.318690598 0.137513849 1.436467518 0.826828798
600066 66.000000 17758100000066000 0.321253926 0.138748798 1.466097811 0.812480813
600067 67.000000 17758100000067000 0.323782355 0.140397259 1.491489278 0.819555914
600068 68.000000 17758100000068000 0.326275408 0.142337738 1.517545007 0.795221636
600069 69.000000 17758100000069000 0.328732759 0.143338689 1.548815699 0.773282336
600070 70.000000 17758100000070000 0.331153959 0.145230453 1.569200920 0.786274480
600071 71.000000 17758100000071000 0.333538681 0.146645112 1.593997292 0.758508267
600072 72.000000 17758100000072000 0.335886538 0.148423736 1.626980336 0.741091638
600073 73.000000 17758100000073000 0.338197112 0.150026571 1.635571588 0.735005951
600074 74.000000 17758100000074000 0.340470105 0.151716523 1.663125644 0.709339331
600075 75.000000 17758100000075000 0.342705101 0.152880894 1.686638370 0.723919392
600076 76.000000 17758100000076000 0.344901770 0.154846992 1.712356396 0.675565060
600077 77.000000 17758100000077000 0.347059786 0.156955030 1.738498715 0.651674116
600078 78.000000 17758100000078000 0.349178761 0.158737283 1.754154926 0.686810680
600079 79.000000 17758100000079000 0.351258427 0.160580219 1.777271617 0.673021928
600080 80.000000 17758100000080000 0.353298366 0.162009620 1.796132351 0.653727389
600081 81.000000 17758100000081000 0.355298340 0.163995341 1.827137102 0.651799847
600082 82.000000 17758100000082000 0.357257992 0.165677773 1.834000064 0.581460452
600083 83.000000 17758100000083000 0.359177023 0.167813792 1.863550040 0.636660922
600084 84.000000 17758100000084000 0.361055136 0.169500646 1.866799708 0.596776960
600085 85.000000 17758100000085000 0.362892002 0.171538484 1.892151347 0.566501572
600086 86.000000 17758100000086000 0.364687353 0.173662350 1.905055381 0.546199350
600087 87.000000 17758100000087000 0.366440922 0.175494045 1.930460282 0.539292540
600088 88.000000 17758100000088000 0.368152440 0.176846038 1.945848425 0.462781866
600089 89.000000 17758100000089000 0.369821578 0.179091805 1.962523870 0.504251434
600090 90.000000 17758100000090000 0.371448129 0.181066466 1.979701018 0.513459871
600091 91.000000 17758100000091000 0.373031795 0.183056586 1.993938820 0.456657179
600092 92.000000 17758100000092000 0.374572366 0.185334157 2.006464725 0.468294927
600093 93.000000 17758100000093000 0.376069546 0.187159041 2.012532024 0.438496155
600094 94.000000 17758100000094000 0.377523154 0.189268954 2.037685693 0.409624017
600095 95.000000 17758100000095000 0.378932953 0.191200757 2.037859750 0.406602236
600096 96.000000 17758100000096000 0.380298674 0.193470539 2.058662886 0.355079300
600097 97.000000 17758100000097000 0.381620169 0.195172415 2.069809006 0.356105175
600098 98.000000 17758100000098000 0.382897168 0.197691976 2.078818083 0.345095211
600099 99.000000 17758100000099000 0.384129494 0.199793339 2.091770643 0.319322348
600100 100.000000 17758100000100000 0.385316968 0.201751471 2.100572096 0.353769177
600101 101.000000 17758100000101000 0.386459351 0.204036379 2.108366409 0.283709759
600102 102.000000 17758100000102000 0.387556523 0.205762168 2.120968539 0.282508549
600103 103.000000 17758100000103000 0.388608307 0.208087119 2.122370354 0.280258237
600104 104.000000 17758100000104000 0.389614493 0.210126516 2.137934605 0.216132419
600105 105.000000 17758100000105000 0.390574962 0.212042421 2.130880513 0.207689762
600106 106.000000 17758100000106000 0.391489506 0.214391396 2.144567505 0.188220863
600107 107.000000 17758100000107000 0.392358065 0.216527192 2.147668677 0.181482491
600108 108.000000 17758100000108000 0.393180430 0.218642215 2.148908664 0.205295360
600109 109.000000 17758100000109000 0.393956512 0.221014531 2.160181864 0.133533983
600110 110.000000 17758100000110000 0.394686162 0.223197792 2.158188910 0.092408923
600111 111.000000 17758100000111000 0.395369291 0.225319516 2.174055910 0.102030375
600112 112.000000 17758100000112000 0.396005780 0.226957712 2.166340619 0.110771496
600113 113.000000 17758100000113000 0.396595538 0.229616812 2.164591051 0.055225515
600114 114.000000 17758100000114000 0.397138417 0.231753687 2.169877225 0.055663928
600115 115.000000 17758100000115000 0.397634417 0.233985160 2.166151074 0.042656700
600116 116.000000 17758100000116000 0.398083389 0.235811632 2.170027233 0.011842094
600117 117.000000 17758100000117000 0.398485303 0.238067480 2.156694242 0.014572720
600118 118.000000 17758100000118000 0.398840070 0.240865674 2.160121410 -0.009256834
600119 119.000000 17758100000119000 0.399147660 0.242556557 2.160175481 -0.067024964
600120 120.000000 17758100000120000 0.399408013 0.244571721 2.151675367 -0.037878073
600121 121.000000 17758100000121000 0.399621099 0.246740426 2.156496682 -0.076304105
600122 122.000000 17758100000122000 0.399786830 0.248915290 2.152064503 -0.075105125
600123 123.000000 17758100000123000 0.399905264 0.251130314 2.149203122 -0.127643269
600124 124.000000 17758100000124000 0.399976313 0.253713244 2.138430578 -0.146862197
600125 125.000000 17758100000125000 0.400000006 0.255578862 2.147233377 -0.160657962
600126 126.000000 17758100000126000 0.399976313 0.257694607 2.127412901 -0.161247999
600127 127.000000 17758100000127000 0.399905264 0.259616848 2.118040574 -0.163360137
600128 128.000000 17758100000128000 0.399786830 0.261898988 2.111105130 -0.190469589
600129 129.000000 17758100000129000 0.399621099 0.263902238 2.109311458 -0.250521303
600130 130.000000 17758100000130000 0.399408013 0.265912625 2.092933241 -0.269418719
600131 131.000000 17758100000131000 0.399147660 0.268413043 2.091343954 -0.255065524
600132 132.000000 17758100000132000 0.398840070 0.270149266 2.078742987 -0.301809105
600133 133.000000 17758100000133000 0.398485303 0.272239522 2.068425931 -0.334831734
600134 134.000000 17758100000134000 0.398083389 0.274508738 2.056357661 -0.332909166
600135 135.000000 17758100000135000 0.397634417 0.276353180 2.041965242 -0.322662726
600136 136.000000 17758100000136000 0.397138417 0.278320903 2.022554657 -0.346780687
600137 137.000000 17758100000137000 0.396595538 0.280391340 2.014135903 -0.387474485
600138 138.000000 17758100000138000 0.396005780 0.282548663 2.006561744 -0.391551896
600139 139.000000 17758100000139000 0.395369291 0.284169584 1.983962648 -0.424519748
600140 140.000000 17758100000140000 0.394686162 0.286393038 1.974675027 -0.430700055
600141 141.000000 17758100000141000 0.393956512 0.288240239 1.966259135 -0.478302009
600142 142.000000 17758100000142000 0.393180430 0.290265802 1.947651689 -0.453332170
600143 143.000000 17758100000143000 0.392358065 0.291787646 1.924725173 -0.467042536
600144 144.000000 17758100000144000 0.391489506 0.293694352 1.913664739 -0.486599095
600145 145.000000 17758100000145000 0.390574962 0.295966510 1.887598024 -0.513921028
600146 146.000000 17758100000146000 0.389614493 0.298220964 1.867183192 -0.521867333
600147 147.000000 17758100000147000 0.388608307 0.299672238 1.851587110 -0.537164407
600148 148.000000 17758100000148000 0.387556523 0.301463396 1.834248362 -0.533524434
600149 149.000000 17758100000149000 0.386459351 0.303281639 1.817760824 -0.612089458
600150 150.000000 17758100000150000 0.385316968 0.305394247 1.788902834 -0.609090063
600151 151.000000 17758100000151000 0.384129494 0.306814514 1.774301298 -0.593380396
600152 152.000000 17758100000152000 0.382897168 0.308498036 1.746799339 -0.629851601
600153 153.000000 17758100000153000 0.381620169 0.310574094 1.745102106 -0.630236297
600154 154.000000 17758100000154000 0.380298674 0.311875732 1.708578300 -0.648554593
600155 155.000000 17758100000155000 0.378932953 0.313673556 1.691697438 -0.679600372
600156 156.000000 17758100000156000 0.377523154 0.315695239 1.666613063 -0.677988081
600157 157.000000 17758100000157000 0.376069546 0.316903815 1.635162467 -0.657394223
600158 158.000000 17758100000158000 0.374572366 0.318957886 1.608396886 -0.684386469
600159 159.000000 17758100000159000 0.373031795 0.320453727 1.588452901 -0.708698168
600160 160.000000 17758100000160000 0.371448129 0.322087788 1.566761439 -0.739924313
600161 161.000000 17758100000161000 0.369821578 0.323427861 1.543990898 -0.742461096
600162 162.000000 17758100000162000 0.368152440 0.324803686 1.513673338 -0.759377618
600163 163.000000 17758100000163000 0.366440922 0.326622546 1.494755637 -0.771356796
600164 164.000000 17758100000164000 0.364687353 0.327718741 1.463991179 -0.782176356
600165 165.000000 17758100000165000 0.362892002 0.329175887 1.435068670 -0.814315801
600166 166.000000 17758100000166000 0.361055136 0.330661833 1.400543655 -0.810707904
600167 167.000000 17758100000167000 0.359177023 0.331974152 1.377546552 -0.866782770
600168 168.000000 17758100000168000 0.357257992 0.333569605 1.345782885 -0.829842952
600169 169.000000 17758100000169000 0.355298340 0.335115806 1.326798993 -0.850859282
600170 170.000000 17758100000170000 0.353298366 0.336158832 1.291240503 -0.829562004
