# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=step backend=newton dt=0.001s
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
110000 0.000000 17758100000000000 0.000000000 -0.000158624 -0.006233222 -0.002778358
110001 1.000000 17758100000001000 0.000000000 0.000048114 0.000583495 -0.030496383
110002 2.000000 17758100000002000 0.000000000 -0.000379265 0.000055645 -0.031710458
110003 3.000000 17758100000003000 0.000000000 0.000279154 -0.001050957 -0.001154680
110004 4.000000 17758100000004000 0.000000000 0.000127659 -0.002489475 0.026500667
110005 5.000000 17758100000005000 0.000000000 -0.000058409 0.006770855 -0.030967893
110006 6.000000 17758100000006000 0.000000000 -0.000062390 0.000361556 0.005794722
110007 7.000000 17758100000007000 0.000000000 0.000060767 0.001296367 0.000854814
110008 8.000000 17758100000008000 0.000000000 -0.000053532 0.002256916 0.005007770
110009 9.000000 17758100000009000 0.000000000 -0.000045182 -0.003416091 0.016487917
110010 10.000000 17758100000010000 0.000000000 0.000144014 -0.001116490 0.018161073
110011 11.000000 17758100000011000 0.000000000 0.000102941 0.011586209 0.007732333
110012 12.000000 17758100000012000 0.000000000 -0.000012826 -0.002986903 0.000478533
110013 13.000000 17758100000013000 0.000000000 -0.000017095 0.008128238 0.013718154
110014 14.000000 17758100000014000 0.000000000 0.000032183 -0.008627895 -0.001960434
110015 15.000000 17758100000015000 0.000000000 -0.000122804 0.001208661 0.018910974
110016 16.000000 17758100000016000 0.000000000 -0.000080750 -0.002457539 0.008516148
110017 17.000000 17758100000017000 0.000000000 0.000109652 0.001503812 -0.028195851
110018 18.000000 17758100000018000 0.000000000 -0.000026097 0.003367349 -0.006642118
110019 19.000000 17758100000019000 0.000000000 -0.000274885 0.002920655 0.029355948
110020 20.000000 17758100000020000 0.000000000 -0.000095456 -0.003693140 0.001281912
110021 21.000000 17758100000021000 0.000000000 0.000131324 -0.005113827 0.003791310
110022 22.000000 17758100000022000 0.000000000 -0.000046457 0.002874621 -0.015708148
110023 23.000000 17758100000023000 0.000000000 -0.000029747 0.006262901 0.000969363
110024 24.000000 17758100000024000 0.000000000 0.000128367 0.003196977 0.009371175
110025 25.000000 17758100000025000 0.000000000 0.000364922 0.007188228 -0.002490074
110026 26.000000 17758100000026000 0.000000000 -0.000142638 -0.003245663 0.020079187
110027 27.000000 17758100000027000 0.000000000 0.000269641 -0.004431532 -0.013917435
110028 28.000000 17758100000028000 0.000000000 -0.000246003 -0.001852599 0.012917437
110029 29.000000 17758100000029000 0.000000000 0.000034996 0.004996302 0.009767613
110030 30.000000 17758100000030000 0.000000000 -0.000233906 -0.001550725 -0.002889029
110031 31.000000 17758100000031000 0.000000000 0.000270292 -0.005297759 -0.010089178
110032 32.000000 17758100000032000 0.000000000 0.000166785 0.004189197 -0.003681100
110033 33.000000 17758100000033000 0.000000000 0.000227543 -0.002752585 0.008625757
110034 34.000000 17758100000034000 0.000000000 -0.000177107 -0.003441531 0.011386669
110035 35.000000 17758100000035000 0.000000000 0.000136911 -0.006382452 0.049387842
110036 36.000000 17758100000036000 0.000000000 -0.000103803 0.002609139 0.000896338
110037 37.000000 17758100000037000 0.000000000 -0.000091477 0.000620715 0.023639378
110038 38.000000 17758100000038000 0.000000000 0.000101307 0.004783172 0.001772490
110039 39.000000 17758100000039000 0.000000000 0.000175344 -0.001765350 0.036050450
110040 40.000000 17758100000040000 0.000000000 0.000040884 0.001107403 0.010616545
110041 41.000000 17758100000041000 0.000000000 -0.000125597 0.006003115 -0.007272104
110042 42.000000 17758100000042000 0.000000000 -0.000165163 -0.004525669 0.008936629
110043 43.000000 17758100000043000 0.000000000 0.000288863 0.009506947 0.033694770
110044 44.000000 17758100000044000 0.000000000 0.000118789 0.001050175 -0.006109143
