# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=ramp backend=newton dt=0.001s seed=20260820
# MotorParams kp=10.996398718882114 ki=1.1930162194347773 kd=0.8556416451823275 integral_max=4.437985730220815 effort_limit=5.193511737418461 inertia=0.028188008953187953 viscous=0.024485211102482668 coulomb=0.0006373491469474279 delay_steps=2
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
100000 0.000000 17758100000000000 0.000000000 0.000451595 0.005730884 -0.015784083
100001 1.000000 17758100000001000 0.000000000 0.000293666 -0.005365070 0.010228018
100002 2.000000 17758100000002000 0.000000000 0.000091981 -0.003842930 0.013453568
100003 3.000000 17758100000003000 0.000000000 0.000117146 0.000142867 0.014684782
100004 4.000000 17758100000004000 0.000000000 0.000247373 -0.000036445 -0.014890814
100005 5.000000 17758100000005000 0.000000000 0.000207929 -0.006144231 -0.005563949
100006 6.000000 17758100000006000 0.000000000 -0.000363576 0.000564872 -0.021587627
100007 7.000000 17758100000007000 0.000000000 0.000389754 0.006319573 0.021071901
100008 8.000000 17758100000008000 0.000000000 -0.000314379 -0.001712960 -0.012771165
100009 9.000000 17758100000009000 0.000000000 -0.000211910 0.009578048 -0.007334561
100010 10.000000 17758100000010000 0.000000000 -0.000114240 0.001426863 0.019848632
100011 11.000000 17758100000011000 0.000000000 0.000099645 0.001720627 -0.017985555
100012 12.000000 17758100000012000 0.000000000 -0.000377290 -0.004460908 -0.017446549
100013 13.000000 17758100000013000 0.000000000 0.000032771 0.002682262 -0.023437336
100014 14.000000 17758100000014000 0.000000000 0.000075080 -0.004870869 0.022491790
100015 15.000000 17758100000015000 0.000000000 0.000062039 0.006230187 -0.004058975
100016 16.000000 17758100000016000 0.000000000 -0.000428148 -0.000452716 -0.006401549
100017 17.000000 17758100000017000 0.000000000 -0.000218996 0.002570238 0.014790329
100018 18.000000 17758100000018000 0.000000000 -0.000108016 -0.004143292 -0.015884413
100019 19.000000 17758100000019000 0.000000000 -0.000211193 0.002083626 -0.004018930
