# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=sine frequency=2Hz amplitude=0.3rad backend=newton dt=0.001s seed=20260820
# MotorParams kp=10.996398718882114 ki=1.1930162194347773 kd=0.8556416451823275 integral_max=4.437985730220815 effort_limit=5.193511737418461 inertia=0.028188008953187953 viscous=0.024485211102482668 coulomb=0.0006373491469474279 delay_steps=2
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
500000 0.000000 17758100000000000 0.100000001 0.099821466 0.006077189 -0.003616029
500001 1.000000 17758100000001000 0.103769809 0.100337802 -0.003732950 0.020784702
500002 2.000000 17758100000002000 0.107539028 0.099997087 0.008221641 -0.034261495
500003 3.000000 17758100000003000 0.111307055 0.100004003 0.000417252 0.061769365
500004 4.000000 17758100000004000 0.115073293 0.100051132 0.003003540 0.098445816
500005 5.000000 17758100000005000 0.118837155 0.099831300 0.016754311 0.110725874
500006 6.000000 17758100000006000 0.122598045 0.100074958 0.005766022 0.156072588
500007 7.000000 17758100000007000 0.126355365 0.100244768 0.016623350 0.164846618
500008 8.000000 17758100000008000 0.130108520 0.099971132 0.026149634 0.254448631
500009 9.000000 17758100000009000 0.133856922 0.099783591 0.029477443 0.244430171
500010 10.000000 17758100000010000 0.137599975 0.100117683 0.033577659 0.303769566
500011 11.000000 17758100000011000 0.141337082 0.099710670 0.049543921 0.337795902
500012 12.000000 17758100000012000 0.145067677 0.100747818 0.066644422 0.385572577
500013 13.000000 17758100000013000 0.148791149 0.100476349 0.073713172 0.373297035
500014 14.000000 17758100000014000 0.152506918 0.100431833 0.078045973 0.387943877
500015 15.000000 17758100000015000 0.156214401 0.100357359 0.098271025 0.446351898
500016 16.000000 17758100000016000 0.159912989 0.100345099 0.118833532 0.503977522
500017 17.000000 17758100000017000 0.163602129 0.100343503 0.140862531 0.508659607
500018 18.000000 17758100000018000 0.167281225 0.100909248 0.148765552 0.526856111
500019 19.000000 17758100000019000 0.170949697 0.101099642 0.168257105 0.544941645
500020 20.000000 17758100000020000 0.174606964 0.101226124 0.187007687 0.589378688
500021 21.000000 17758100000021000 0.178252459 0.101939546 0.212082354 0.566994878
500022 22.000000 17758100000022000 0.181885585 0.101280722 0.226115074 0.608848901
500023 23.000000 17758100000023000 0.185505778 0.101921229 0.251806648 0.629868350
500024 24.000000 17758100000024000 0.189112470 0.102527755 0.277087743 0.621520292
500025 25.000000 17758100000025000 0.192705095 0.102304242 0.291751809 0.681035533
500026 26.000000 17758100000026000 0.196283087 0.103184150 0.313109310 0.702434169
500027 27.000000 17758100000027000 0.199845865 0.103650735 0.342671909 0.696465018
500028 28.000000 17758100000028000 0.203392878 0.103446337 0.367613865 0.673308049
500029 29.000000 17758100000029000 0.206923559 0.103948649 0.388548174 0.732808108
500030 30.000000 17758100000030000 0.210437372 0.104547724 0.417728815 0.717780784
500031 31.000000 17758100000031000 0.213933736 0.104946099 0.445047052 0.760874082
500032 32.000000 17758100000032000 0.217412099 0.104961934 0.472362481 0.775670188
500033 33.000000 17758100000033000 0.220871925 0.105063041 0.498090889 0.793806492
500034 34.000000 17758100000034000 0.224312678 0.106167472 0.525753989 0.751412547
500035 35.000000 17758100000035000 0.227733791 0.106613299 0.549267594 0.779475167
500036 36.000000 17758100000036000 0.231134728 0.107270224 0.572680834 0.793091859
500037 37.000000 17758100000037000 0.234514967 0.108146714 0.603070171 0.780784467
500038 38.000000 17758100000038000 0.237873957 0.108549795 0.626359080 0.848482647
500039 39.000000 17758100000039000 0.241211176 0.109336319 0.654468899 0.842171677
500040 40.000000 17758100000040000 0.244526103 0.109622671 0.685359094 0.818691411
500041 41.000000 17758100000041000 0.247818202 0.110613665 0.713960641 0.826873514
500042 42.000000 17758100000042000 0.251086950 0.111459194 0.745156425 0.846276556
500043 43.000000 17758100000043000 0.254331857 0.112496083 0.778627964 0.833411380
500044 44.000000 17758100000044000 0.257552385 0.112941560 0.805204858 0.847435438
500045 45.000000 17758100000045000 0.260748029 0.113998393 0.825150505 0.820513954
500046 46.000000 17758100000046000 0.263918310 0.114953710 0.851569532 0.823970780
500047 47.000000 17758100000047000 0.267062694 0.115684563 0.895592760 0.855226638
500048 48.000000 17758100000048000 0.270180672 0.116628217 0.917205996 0.835911195
500049 49.000000 17758100000049000 0.273271799 0.117274636 0.941101577 0.846239744
500050 50.000000 17758100000050000 0.276335567 0.118459889 0.980370374 0.822391248
500051 51.000000 17758100000051000 0.279371500 0.119493209 1.001351881 0.855454830
500052 52.000000 17758100000052000 0.282379091 0.120729735 1.034589131 0.826953788
500053 53.000000 17758100000053000 0.285357893 0.121236781 1.070650816 0.822729559
500054 54.000000 17758100000054000 0.288307399 0.122762017 1.088457200 0.825847264
500055 55.000000 17758100000055000 0.291227192 0.124077665 1.115820658 0.832352237
500056 56.000000 17758100000056000 0.294116795 0.125025826 1.154035099 0.834007856
500057 57.000000 17758100000057000 0.296975732 0.126317870 1.187876416 0.850536692
500058 58.000000 17758100000058000 0.299803555 0.127309443 1.205078300 0.782730434
500059 59.000000 17758100000059000 0.302599847 0.128420811 1.236330070 0.772072017
500060 60.000000 17758100000060000 0.305364132 0.129926855 1.261437251 0.797170572
500061 61.000000 17758100000061000 0.308095992 0.130575031 1.286763609 0.822093083
500062 62.000000 17758100000062000 0.310794979 0.132197351 1.311673783 0.768267267
500063 63.000000 17758100000063000 0.313460708 0.133765215 1.340936599 0.817945259
500064 64.000000 17758100000064000 0.316092700 0.135045871 1.362135842 0.768606919
500065 65.000000 17758100000065000 0.318690598 0.136161872 1.393775654 0.730539985
500066 66.000000 17758100000066000 0.321253926 0.138291247 1.429456523 0.738011931
500067 67.000000 17758100000067000 0.323782355 0.139361851 1.451718730 0.789564385
500068 68.000000 17758100000068000 0.326275408 0.140841892 1.468196199 0.759153490
500069 69.000000 17758100000069000 0.328732759 0.142144148 1.490389146 0.722381194
500070 70.000000 17758100000070000 0.331153959 0.143883443 1.523776074 0.689832363
500071 71.000000 17758100000071000 0.333538681 0.145422966 1.537716763 0.720659398
500072 72.000000 17758100000072000 0.335886538 0.146924586 1.565737314 0.696546685
500073 73.000000 17758100000073000 0.338197112 0.148759234 1.593162617 0.687316046
500074 74.000000 17758100000074000 0.340470105 0.150431007 1.609123931 0.663459716
500075 75.000000 17758100000075000 0.342705101 0.151894805 1.634680456 0.623178353
500076 76.000000 17758100000076000 0.344901770 0.153406000 1.659016788 0.646899401
500077 77.000000 17758100000077000 0.347059786 0.155160066 1.669638958 0.621996959
500078 78.000000 17758100000078000 0.349178761 0.156770643 1.704320618 0.632774370
500079 79.000000 17758100000079000 0.351258427 0.158726039 1.720126623 0.598397781
500080 80.000000 17758100000080000 0.353298366 0.160124879 1.744696274 0.618254213
500081 81.000000 17758100000081000 0.355298340 0.162248209 1.768114010 0.580163117
500082 82.000000 17758100000082000 0.357257992 0.163666492 1.786406240 0.598472163
500083 83.000000 17758100000083000 0.359177023 0.165678387 1.797735468 0.566625960
500084 84.000000 17758100000084000 0.361055136 0.167180695 1.815838104 0.575841120
500085 85.000000 17758100000085000 0.362892002 0.169222589 1.839379531 0.546791823
500086 86.000000 17758100000086000 0.364687353 0.170804468 1.859402285 0.517686028
500087 87.000000 17758100000087000 0.366440922 0.173010383 1.874134844 0.502590911
500088 88.000000 17758100000088000 0.368152440 0.174665641 1.875960888 0.511570232
500089 89.000000 17758100000089000 0.369821578 0.176483608 1.900332317 0.466062201
500090 90.000000 17758100000090000 0.371448129 0.178682316 1.917698927 0.420549139
500091 91.000000 17758100000091000 0.373031795 0.180464272 1.925086319 0.450803622
500092 92.000000 17758100000092000 0.374572366 0.182277846 1.947162484 0.458609545
500093 93.000000 17758100000093000 0.376069546 0.184545130 1.969514842 0.362847977
500094 94.000000 17758100000094000 0.377523154 0.186478841 1.968354337 0.386519082
500095 95.000000 17758100000095000 0.378932953 0.188671648 1.978933943 0.394306905
500096 96.000000 17758100000096000 0.380298674 0.190623246 1.994681006 0.414760506
500097 97.000000 17758100000097000 0.381620169 0.192234279 2.003554112 0.325730338
500098 98.000000 17758100000098000 0.382897168 0.194481694 2.009615044 0.354382784
500099 99.000000 17758100000099000 0.384129494 0.196472714 2.023308267 0.295057635
500100 100.000000 17758100000100000 0.385316968 0.198578523 2.025407891 0.317603662
500101 101.000000 17758100000101000 0.386459351 0.200682044 2.042324171 0.285109006
500102 102.000000 17758100000102000 0.387556523 0.202223038 2.056306280 0.226244311
500103 103.000000 17758100000103000 0.388608307 0.204539908 2.062328759 0.254555708
500104 104.000000 17758100000104000 0.389614493 0.207009976 2.067884097 0.254142266
500105 105.000000 17758100000105000 0.390574962 0.208542834 2.071912045 0.245658810
500106 106.000000 17758100000106000 0.391489506 0.210779555 2.076885316 0.166448783
500107 107.000000 17758100000107000 0.392358065 0.212963276 2.085412400 0.191560088
500108 108.000000 17758100000108000 0.393180430 0.215131567 2.087658517 0.175528576
500109 109.000000 17758100000109000 0.393956512 0.217222083 2.092262263 0.165774593
500110 110.000000 17758100000110000 0.394686162 0.219324468 2.098277724 0.105955212
500111 111.000000 17758100000111000 0.395369291 0.221124981 2.099506458 0.116731472
500112 112.000000 17758100000112000 0.396005780 0.223084858 2.110742711 0.125554291
500113 113.000000 17758100000113000 0.396595538 0.225246324 2.109312791 0.061175799
500114 114.000000 17758100000114000 0.397138417 0.227941354 2.109952087 0.016530039
500115 115.000000 17758100000115000 0.397634417 0.229899739 2.106094615 0.069973157
500116 116.000000 17758100000116000 0.398083389 0.232062536 2.106278704 0.019754219
500117 117.000000 17758100000117000 0.398485303 0.234013872 2.098944394 0.007362643
500118 118.000000 17758100000118000 0.398840070 0.236252948 2.116287114 0.020992520
500119 119.000000 17758100000119000 0.399147660 0.238314163 2.101834729 -0.038389774
500120 120.000000 17758100000120000 0.399408013 0.240210591 2.096797797 -0.052118211
500121 121.000000 17758100000121000 0.399621099 0.242259008 2.102269508 -0.048653454
500122 122.000000 17758100000122000 0.399786830 0.244347544 2.092468965 -0.068150951
500123 123.000000 17758100000123000 0.399905264 0.246572747 2.078066883 -0.054603721
500124 124.000000 17758100000124000 0.399976313 0.248750955 2.090756826 -0.104051162
500125 125.000000 17758100000125000 0.400000006 0.250839419 2.077705697 -0.149038411
500126 126.000000 17758100000126000 0.399976313 0.252789272 2.076715468 -0.111296002
500127 127.000000 17758100000127000 0.399905264 0.254842349 2.059205564 -0.156653505
500128 128.000000 17758100000128000 0.399786830 0.257123720 2.060799371 -0.165863572
500129 129.000000 17758100000129000 0.399621099 0.258674356 2.051177608 -0.163591846
500130 130.000000 17758100000130000 0.399408013 0.260969785 2.043363118 -0.199980904
500131 131.000000 17758100000131000 0.399147660 0.263216015 2.020496243 -0.208190535
500132 132.000000 17758100000132000 0.398840070 0.265258197 2.023275578 -0.233432025
500133 133.000000 17758100000133000 0.398485303 0.266858845 2.015055102 -0.234006245
500134 134.000000 17758100000134000 0.398083389 0.269018459 2.006245020 -0.271701326
500135 135.000000 17758100000135000 0.397634417 0.270840780 1.988316628 -0.277391689
500136 136.000000 17758100000136000 0.397138417 0.273022079 1.984310064 -0.293580630
500137 137.000000 17758100000137000 0.396595538 0.275225746 1.975512426 -0.266946580
500138 138.000000 17758100000138000 0.396005780 0.277075332 1.950858277 -0.340206635
500139 139.000000 17758100000139000 0.395369291 0.279401384 1.937817552 -0.375382009
500140 140.000000 17758100000140000 0.394686162 0.281359627 1.928023278 -0.362981309
500141 141.000000 17758100000141000 0.393956512 0.282540793 1.914587371 -0.379160656
500142 142.000000 17758100000142000 0.393180430 0.284737212 1.892263464 -0.396032081
500143 143.000000 17758100000143000 0.392358065 0.287169141 1.883850100 -0.358558489
500144 144.000000 17758100000144000 0.391489506 0.288503742 1.871815889 -0.429470394
500145 145.000000 17758100000145000 0.390574962 0.290394775 1.848171994 -0.421982296
