# SYNTHETIC PLACEHOLDER — replace with real WMX3 CoreMotion Data Log
# profile=step backend=newton dt=0.001s seed=20260820
# MotorParams kp=10.996398718882114 ki=1.1930162194347773 kd=0.8556416451823275 integral_max=4.437985730220815 effort_limit=5.193511737418461 inertia=0.028188008953187953 viscous=0.024485211102482668 coulomb=0.0006373491469474279 delay_steps=2
CYCLE TIME SYSTEM_TIME CMDPOS0 FBKPOS0 FBKVEL0 FBKTRQ0
300000 0.000000 17758100000000000 0.000000000 -0.000223549 0.007523256 0.002268764
300001 1.000000 17758100000001000 0.000000000 -0.000061367 0.003960737 0.014279051
300002 2.000000 17758100000002000 0.000000000 -0.000307642 -0.003009035 -0.017559383
300003 3.000000 17758100000003000 0.000000000 -0.000096470 -0.002883487 -0.004288235
300004 4.000000 17758100000004000 0.000000000 0.000115736 -0.013548562 -0.001521312
300005 5.000000 17758100000005000 0.000000000 0.000006076 -0.005373877 0.010334831
300006 6.000000 17758100000006000 0.000000000 0.000211481 0.001612986 0.031659142
300007 7.000000 17758100000007000 0.000000000 -0.000238183 -0.004909359 0.016381528
300008 8.000000 17758100000008000 0.000000000 0.000333099 0.002474100 -0.017398670
300009 9.000000 17758100000009000 0.000000000 0.000246806 -0.007493556 0.008550569
300010 10.000000 17758100000010000 0.000000000 -0.000078225 -0.002856587 0.001971847
300011 11.000000 17758100000011000 0.000000000 -0.000166382 0.006533526 -0.004236400
300012 12.000000 17758100000012000 0.000000000 -0.000025682 0.005080896 0.010292612
300013 13.000000 17758100000013000 0.000000000 -0.000085706 -0.007934631 0.034492026
300014 14.000000 17758100000014000 0.000000000 0.000349379 0.005226802 0.020807990
300015 15.000000 17758100000015000 0.000000000 0.000003747 0.002598032 -0.007306487
300016 16.000000 17758100000016000 0.000000000 -0.000130513 -0.000664120 -0.058504730
300017 17.000000 17758100000017000 0.000000000 0.000228950 -0.002455560 -0.015899170
300018 18.000000 17758100000018000 0.000000000 0.000281260 -0.002889474 -0.032213322
300019 19.000000 17758100000019000 0.000000000 -0.000073512 -0.002562909 -0.025805813
300020 20.000000 17758100000020000 0.000000000 -0.000061682 -0.009012103 -0.029314096
300021 21.000000 17758100000021000 0.000000000 0.000464735 0.002140828 -0.000212716
300022 22.000000 17758100000022000 0.000000000 0.000209219 -0.000841532 -0.001875093
300023 23.000000 17758100000023000 0.000000000 -0.000012521 -0.003035650 -0.018106107
300024 24.000000 17758100000024000 0.000000000 -0.000237215 0.000740567 -0.020995762
300025 25.000000 17758100000025000 0.000000000 -0.000069796 -0.000125383 -0.013935430
300026 26.000000 17758100000026000 0.000000000 -0.000399336 0.000706119 -0.009702360
300027 27.000000 17758100000027000 0.000000000 -0.000038812 0.005649655 0.014287756
300028 28.000000 17758100000028000 0.000000000 0.000100502 0.003680816 0.006272642
300029 29.000000 17758100000029000 0.000000000 -0.000102843 0.001076641 0.013818207
300030 30.000000 17758100000030000 0.000000000 0.000016141 0.001346601 -0.014555073
300031 31.000000 17758100000031000 0.000000000 0.000043339 0.009337456 0.030297438
300032 32.000000 17758100000032000 0.000000000 -0.000210822 -0.005244621 -0.004421194
300033 33.000000 17758100000033000 0.000000000 -0.000005199 0.001775983 -0.016596247
300034 34.000000 17758100000034000 0.000000000 -0.000186977 -0.003276245 -0.066443585
300035 35.000000 17758100000035000 0.000000000 -0.000295554 0.003512466 -0.011735578
300036 36.000000 17758100000036000 0.000000000 0.000327668 -0.003404570 0.006161350
300037 37.000000 17758100000037000 0.000000000 -0.000152531 -0.000685718 -0.000496680
300038 38.000000 17758100000038000 0.000000000 -0.000171368 -0.002389949 0.009590366
300039 39.000000 17758100000039000 0.000000000 -0.000017048 -0.005179522 0.021515777
300040 40.000000 17758100000040000 0.000000000 -0.000080973 0.003039498 -0.004747201
300041 41.000000 17758100000041000 0.000000000 0.000358058 0.002876825 -0.015120631
300042 42.000000 17758100000042000 0.000000000 -0.000314275 -0.003010718 0.048485715
300043 43.000000 17758100000043000 0.000000000 -0.000156266 0.005505816 -0.009931976
300044 44.000000 17758100000044000 0.000000000 0.000007967 0.000670305 0.000050625
300045 45.000000 17758100000045000 0.000000000 0.000121815 -0.012878304 -0.016992252
300046 46.000000 17758100000046000 0.000000000 0.000067626 -0.002532309 -0.013244110
300047 47.000000 17758100000047000 0.000000000 -0.000181184 0.000127457 0.041126492
300048 48.000000 17758100000048000 0.000000000 -0.000094777 0.004863317 -0.016365986
300049 49.000000 17758100000049000 0.000000000 -0.000113763 -0.002665196 0.032468791
300050 50.000000 17758100000050000 0.000000000 -0.000162867 -0.002575540 -0.003765289
300051 51.000000 17758100000051000 0.000000000 0.000264490 -0.004570214 0.004869529
300052 52.000000 17758100000052000 0.000000000 0.000174345 -0.008513990 0.032292949
300053 53.000000 17758100000053000 0.000000000 0.000056925 -0.005793805 0.018836704
300054 54.000000 17758100000054000 0.000000000 -0.000131278 0.002858947 0.017671224
300055 55.000000 17758100000055000 0.000000000 0.000439761 0.002945459 0.012415421
300056 56.000000 17758100000056000 0.000000000 -0.000003456 -0.003423397 0.020678740
300057 57.000000 17758100000057000 0.000000000 -0.000080768 0.007502513 -0.011480411
300058 58.000000 17758100000058000 0.000000000 -0.000099077 0.002461161 0.003640200
300059 59.000000 17758100000059000 0.000000000 -0.000034848 0.008814913 0.024584724
300060 60.000000 17758100000060000 0.000000000 -0.000247309 0.001674268 -0.003525287
300061 61.000000 17758100000061000 0.000000000 -0.000100073 -0.000242311 -0.005867861
300062 62.000000 17758100000062000 0.000000000 0.000363357 0.005801981 -0.003025962
300063 63.000000 17758100000063000 0.000000000 -0.000304631 -0.007038670 0.027473262
300064 64.000000 17758100000064000 0.000000000 -0.000250271 -0.000496882 0.020717162
300065 65.000000 17758100000065000 0.000000000 -0.000177180 -0.015383339 0.002513452
300066 66.000000 17758100000066000 0.000000000 0.000178543 -0.003569569 0.025691212
300067 67.000000 17758100000067000 0.000000000 -0.000066546 0.004529935 -0.017408879
300068 68.000000 17758100000068000 0.000000000 0.000113771 -0.000397879 -0.006613850
300069 69.000000 17758100000069000 0.000000000 0.000503238 -0.006556481 0.037770540
300070 70.000000 17758100000070000 0.000000000 0.000041186 -0.003021824 -0.005284468
300071 71.000000 17758100000071000 0.000000000 -0.000416195 -0.004827242 -0.030538911
300072 72.000000 17758100000072000 0.000000000 0.000059737 -0.005062345 0.016756046
300073 73.000000 17758100000073000 0.000000000 0.000323520 0.006558764 -0.030645875
300074 74.000000 17758100000074000 0.000000000 -0.000137169 -0.001671308 -0.039204486
300075 75.000000 17758100000075000 0.000000000 -0.000009913 -0.000911931 0.011007906
300076 76.000000 17758100000076000 0.000000000 -0.000064621 -0.009243494 -0.003661505
300077 77.000000 17758100000077000 0.000000000 0.000395011 -0.002664221 -0.002668843
300078 78.000000 17758100000078000 0.000000000 0.000085532 0.006876638 0.005245339
300079 79.000000 17758100000079000 0.000000000 0.000107977 0.002401393 0.020304334
300080 80.000000 17758100000080000 0.000000000 0.000018140 -0.002144143 -0.009713114
300081 81.000000 17758100000081000 0.000000000 0.000116591 0.006900622 0.021144854
300082 82.000000 17758100000082000 0.000000000 -0.000502297 0.008864806 0.013241668
300083 83.000000 17758100000083000 0.000000000 -0.000112195 0.004746593 -0.021321419
300084 84.000000 17758100000084000 0.000000000 0.000186928 -0.003512265 0.011742579
300085 85.000000 17758100000085000 0.000000000 0.000219201 0.000414921 0.000755123
300086 86.000000 17758100000086000 0.000000000 0.000002815 0.006315678 -0.002437807
300087 87.000000 17758100000087000 0.000000000 -0.000197205 -0.001605745 -0.001983066
300088 88.000000 17758100000088000 0.000000000 0.000050321 -0.001535488 0.044870104
300089 89.000000 17758100000089000 0.000000000 0.000288395 0.002576888 -0.022431201
300090 90.000000 17758100000090000 0.000000000 -0.000000229 0.004206225 -0.035475902
300091 91.000000 17758100000091000 0.000000000 -0.000282512 0.021052953 -0.000286476
300092 92.000000 17758100000092000 0.000000000 0.000254967 0.002267962 0.015209383
300093 93.000000 17758100000093000 0.000000000 -0.000185504 -0.001844103 0.009641080
300094 94.000000 17758100000094000 0.000000000 -0.000249639 -0.002877615 -0.011099113
300095 95.000000 17758100000095000 0.000000000 -0.000230345 0.004241878 -0.010390629
300096 96.000000 17758100000096000 0.000000000 -0.000187100 0.000150350 -0.010597466
300097 97.000000 17758100000097000 0.000000000 -0.000210331 0.000543716 -0.016440518
300098 98.000000 17758100000098000 0.000000000 -0.000022350 -0.003305597 0.008748771
300099 99.000000 17758100000099000 0.000000000 0.000000075 0.003758234 0.007270888
300100 100.000000 17758100000100000 0.000000000 0.000188796 0.002031683 0.005126201
300101 101.000000 17758100000101000 0.000000000 0.000501239 0.005766426 0.004523499
300102 102.000000 17758100000102000 0.000000000 -0.000267687 -0.001533558 0.009143071
300103 103.000000 17758100000103000 0.000000000 0.000175734 -0.007012626 0.005487628
300104 104.000000 17758100000104000 0.000000000 -0.000005725 -0.002902059 0.005927772
300105 105.000000 17758100000105000 0.000000000 -0.000224824 0.001983892 0.006983221
300106 106.000000 17758100000106000 0.000000000 -0.000336179 -0.002819662 0.029902857
300107 107.000000 17758100000107000 0.000000000 -0.000078483 -0.003373972 -0.024224764
300108 108.000000 17758100000108000 0.000000000 0.000222258 -0.000140863 -0.025268495
300109 109.000000 17758100000109000 0.000000000 0.000008165 0.005037332 0.002168742
300110 110.000000 17758100000110000 0.000000000 -0.000276632 -0.003026636 0.052978971
300111 111.000000 17758100000111000 0.000000000 -0.000162972 0.002847021 0.007663294
300112 112.000000 17758100000112000 0.000000000 0.000241521 -0.001549250 -0.010010539
300113 113.000000 17758100000113000 0.000000000 -0.000214110 -0.003912915 -0.016112418
300114 114.000000 17758100000114000 0.000000000 -0.000079817 0.004282576 -0.022931761
300115 115.000000 17758100000115000 0.000000000 -0.000153009 -0.003909633 0.011424624
300116 116.000000 17758100000116000 0.000000000 -0.000180377 -0.000482734 0.001131429
300117 117.000000 17758100000117000 0.000000000 -0.000003155 0.001514910 -0.018211113
300118 118.000000 17758100000118000 0.000000000 0.000075921 0.004196517 -0.013071388
300119 119.000000 17758100000119000 0.000000000 -0.000109537 0.001304343 0.007347304
300120 120.000000 17758100000120000 0.000000000 -0.000169410 -0.005155222 -0.037932009
300121 121.000000 17758100000121000 0.000000000 0.000039337 0.014367064 -0.016874220
300122 122.000000 17758100000122000 0.000000000 0.000316073 -0.001383013 0.001967849
300123 123.000000 17758100000123000 0.000000000 -0.000180991 -0.001003172 -0.004829063
300124 124.000000 17758100000124000 0.000000000 0.000395993 0.002220447 -0.002151416
300125 125.000000 17758100000125000 0.000000000 0.000104444 -0.004940035 0.032200644
300126 126.000000 17758100000126000 0.000000000 -0.000377469 -0.007477867 -0.008018941
300127 127.000000 17758100000127000 0.000000000 0.000179325 -0.002459789 -0.003739261
300128 128.000000 17758100000128000 0.000000000 0.000127215 0.002645907 -0.006587128
300129 129.000000 17758100000129000 0.000000000 -0.000223247 -0.002300028 0.004549855
300130 130.000000 17758100000130000 0.000000000 0.000041062 0.005355180 -0.007714780
300131 131.000000 17758100000131000 0.000000000 -0.000212836 -0.001721544 -0.001471326
300132 132.000000 17758100000132000 0.000000000 0.000187069 -0.002078597 0.031073637
300133 133.000000 17758100000133000 0.000000000 0.000183972 0.001753216 0.010789407
300134 134.000000 17758100000134000 0.000000000 0.000206101 0.006222567 0.026777767
300135 135.000000 17758100000135000 0.000000000 -0.000030575 -0.012927481 -0.034368302
300136 136.000000 17758100000136000 0.000000000 -0.000025464 0.004200723 -0.025786798
300137 137.000000 17758100000137000 0.000000000 -0.000308644 0.000630903 0.045941698
300138 138.000000 17758100000138000 0.000000000 0.000146254 -0.000087880 -0.022133026
300139 139.000000 17758100000139000 0.000000000 -0.000280691 0.001269237 0.001754282
300140 140.000000 17758100000140000 0.000000000 -0.000144213 0.005205715 -0.004885100
300141 141.000000 17758100000141000 0.000000000 -0.000358356 -0.006495752 0.030116428
300142 142.000000 17758100000142000 0.000000000 0.000251542 0.008468315 0.000179337
300143 143.000000 17758100000143000 0.000000000 0.000211417 0.003184046 0.031898229
300144 144.000000 17758100000144000 0.000000000 0.000352659 -0.000958491 0.002389050
300145 145.000000 17758100000145000 0.000000000 0.000121499 -0.006298227 0.031259436
300146 146.000000 17758100000146000 0.000000000 -0.000208347 0.001109080 0.010882262
300147 147.000000 17758100000147000 0.000000000 -0.000164003 -0.000364514 -0.015070990
300148 148.000000 17758100000148000 0.000000000 0.000260438 0.003303450 -0.019171351
